total_steps,episode,episode_steps,episode_reward,episode_time,win,repeated,loss,epsilon,intrinsic_reward
1590,46,35,1352.5,3.3661797046661377,False,0,2191.92333984375,0.98412589,0.0
1621,47,31,1910.0,2.7679758071899414,True,0,3405.91162109375,0.9838162,0.0
1668,48,47,1775.0,5.167836666107178,True,0,1685.041015625,0.98334667,0.0
1713,49,45,2077.5,4.786966800689697,False,0,1703.053466796875,0.98289712,0.0
1737,50,24,1385.0,2.0308773517608643,False,0,6786.32470703125,0.98265736,0.0
1765,51,28,1685.0,2.22300386428833,False,0,4829.990234375,0.98237764,0.0
1818,52,53,3410.0,6.541334629058838,True,0,5019.56640625,0.98184817,0.0
1859,53,41,1940.0,4.257710695266724,False,0,2554.512939453125,0.98143858,0.0
1906,54,47,2052.5,5.491027355194092,True,0,1572.3048095703125,0.98096905,0.0
1944,55,38,2415.0,3.9648568630218506,True,0,3579.410400390625,0.98058943,0.0
1977,56,33,2545.0,3.200856924057007,True,0,3416.778076171875,0.98025976,0.0
2010,57,33,2165.0,3.148601770401001,False,0,7154.4169921875,0.97993009,0.0
2036,58,26,1430.0,2.0490214824676514,True,0,4391.06103515625,0.97967035,0.0
2064,59,28,1156.25,2.7067201137542725,False,0,6762.53564453125,0.97939063,0.0
2092,60,28,855.0,2.527406930923462,False,0,12830.3212890625,0.97911091,0.0
2126,61,34,1420.0,3.363149881362915,False,0,5963.4736328125,0.97877125,0.0
2161,62,35,2167.5,3.646517753601074,True,0,7176.8271484375,0.9784216,0.0
2194,63,33,1747.5,3.101499557495117,True,0,8035.1240234375,0.9780919299999999,0.0
2240,64,46,2232.5,5.2413976192474365,True,0,1298.380126953125,0.97763239,0.0
2270,65,30,2266.25,2.829099178314209,True,0,7616.2373046875,0.97733269,0.0
2304,66,34,1181.25,3.3421459197998047,False,0,11438.3037109375,0.97699303,0.0
2361,67,57,2095.0,7.586041688919067,False,0,8290.85546875,0.9764236,0.0
2397,68,36,2157.5,3.555044651031494,True,0,3602.122314453125,0.97606396,0.0
2435,69,38,1635.0,4.0232603549957275,False,0,5202.52001953125,0.97568434,0.0
2471,70,36,1807.5,3.525743246078491,False,0,4874.11669921875,0.9753247,0.0
2503,71,32,1605.0,3.105743646621704,False,0,9057.453125,0.97500502,0.0
2538,72,35,2030.0,3.6738779544830322,True,0,10823.2109375,0.97465537,0.0
2572,73,34,1485.0,3.1736881732940674,True,0,4963.33935546875,0.97431571,0.0
2601,74,29,1270.0,2.703763723373413,False,0,8353.791015625,0.9740260000000001,0.0
2630,75,29,2047.5,2.3129727840423584,True,0,5575.15234375,0.97373629,0.0
2652,76,22,1337.5,2.020346164703369,False,0,10631.8134765625,0.9735165100000001,0.0
2685,77,33,2561.25,3.0248239040374756,True,0,4814.4921875,0.97318684,0.0
2705,78,20,1607.5,1.4469380378723145,False,0,4891.0859375,0.97298704,0.0
2736,79,31,1130.0,2.962315797805786,True,0,8789.1552734375,0.97267735,0.0
2765,80,29,1613.75,2.625976324081421,False,0,5889.00146484375,0.97238764,0.0
2800,81,35,1810.0,3.451014757156372,True,0,4106.80615234375,0.97203799,0.0
2845,82,45,1613.75,4.830847978591919,False,0,2985.59033203125,0.97158844,0.0
2891,83,46,2360.0,5.343918085098267,True,0,4210.05029296875,0.9711289,0.0
2924,84,33,2135.0,2.6937694549560547,False,0,1466.7550048828125,0.97079923,0.0
2961,85,37,2320.0,3.6464991569519043,False,0,8234.6064453125,0.9704296,0.0
2997,86,36,1450.0,3.2515945434570312,True,0,4956.31103515625,0.97006996,0.0
3023,87,26,1740.0,1.9726216793060303,True,0,12128.2734375,0.9698102200000001,0.0
3075,88,52,2522.5,6.328613758087158,False,0,30422.328125,0.96929074,0.0
3108,89,33,1368.75,3.2379074096679688,True,0,5023.126953125,0.96896107,0.0
3127,90,19,1035.0,1.3592815399169922,False,0,2802.346435546875,0.96877126,0.0
3159,91,32,1490.0,3.084444761276245,False,0,11726.814453125,0.96845158,0.0
3202,92,43,2490.0,5.075612545013428,True,0,9772.0185546875,0.96802201,0.0
3242,93,40,1567.5,4.2420973777771,True,0,49992.859375,0.96762241,0.0
3274,94,32,1823.75,2.7703194618225098,True,0,29845.58984375,0.96730273,0.0
3309,95,35,2707.5,3.6816909313201904,True,0,8957.123046875,0.96695308,0.0
3340,96,31,1556.25,2.9984042644500732,False,0,3451.62060546875,0.96664339,0.0
3383,97,43,2192.5,5.502721786499023,False,0,12019.45703125,0.96621382,0.0
3417,98,34,2127.5,4.041917562484741,True,0,9131.74609375,0.96587416,0.0
3461,99,44,2285.0,6.407429933547974,True,0,25853.109375,0.9654346,0.0
3490,100,29,2322.5,3.054492473602295,True,0,12960.02734375,0.96514489,0.0
3522,101,32,2730.0,3.4490325450897217,True,0,6493.8984375,0.96482521,0.0
3561,102,39,1387.5,3.9470837116241455,False,0,7949.4052734375,0.9644356,0.0
3591,103,30,1257.5,3.0033164024353027,True,0,7629.576171875,0.9641359,0.0
3646,104,55,1510.0,7.132928848266602,False,0,17497.587890625,0.96358645,0.0
3700,105,54,1637.5,7.6268346309661865,False,0,5766.33935546875,0.96304699,0.0
3722,106,22,1832.5,1.5407233238220215,True,0,5737.48046875,0.96282721,0.0
3756,107,34,2680.0,3.3543217182159424,True,0,9714.76171875,0.96248755,0.0
3784,108,28,1832.5,2.6863625049591064,False,0,15164.09765625,0.96220783,0.0
3821,109,37,2167.5,3.507152557373047,False,0,10750.107421875,0.9618382,0.0
3855,110,34,2010.0,2.9075136184692383,True,0,9330.927734375,0.96149854,0.0
3877,111,22,1540.0,2.217684030532837,True,0,58815.37890625,0.96127876,0.0
3929,112,52,2978.75,6.51717472076416,False,0,6157.0478515625,0.96075928,0.0
3959,113,30,1882.5,2.4036428928375244,False,0,3399.1416015625,0.96045958,0.0
3997,114,38,1426.25,4.379960775375366,False,0,8266.470703125,0.96007996,0.0
4025,115,28,1997.5,2.6971163749694824,True,0,27322.185546875,0.95980024,0.0
4060,116,35,1922.5,3.808645725250244,True,0,53733.41015625,0.95945059,0.0
4090,117,30,1605.625,2.4243850708007812,False,0,37115.71875,0.95915089,0.0
4125,118,35,1810.0,3.71701979637146,False,0,5176.3359375,0.95880124,0.0
4162,119,37,2205.0,4.034467697143555,True,0,36926.5859375,0.95843161,0.0
4207,120,45,1790.0,5.061784029006958,True,0,14598.6953125,0.95798206,0.0
4250,121,43,2072.5,4.8075690269470215,True,0,18645.197265625,0.95755249,0.0
4302,122,52,3025.0,6.266980886459351,False,0,54046.15625,0.95703301,0.0
4331,123,29,1190.0,2.8237459659576416,False,0,20062.359375,0.9567433,0.0
4357,124,26,2137.5,1.9166624546051025,False,0,17007.1796875,0.95648356,0.0
4384,125,27,1132.5,2.5672309398651123,False,0,9623.4677734375,0.95621383,0.0
4413,126,29,2395.0,2.311455488204956,False,0,11806.283203125,0.95592412,0.0
4449,127,36,3202.5,3.3180222511291504,True,0,19778.1484375,0.95556448,0.0
4470,128,21,1347.5,1.922551155090332,False,0,81766.328125,0.95535469,0.0
4512,129,42,2202.5,4.34590744972229,True,0,26992.220703125,0.95493511,0.0
4537,130,25,1940.0,1.9754915237426758,True,0,39040.06640625,0.95468536,0.0
4562,131,25,1390.0,2.377903461456299,False,0,22920.98046875,0.95443561,0.0
4593,132,31,887.5,2.574140787124634,False,0,24990.794921875,0.95412592,0.0
4625,133,32,1820.0,3.0729384422302246,False,0,11364.7587890625,0.95380624,0.0
4654,134,29,1502.5,2.333934783935547,False,0,10327.982421875,0.95351653,0.0
4681,135,27,1452.5,2.6614246368408203,False,0,19681.2421875,0.9532468,0.0
4722,136,41,1672.5,4.204707145690918,True,0,20045.5,0.95283721,0.0
4746,137,24,1566.25,1.8456141948699951,False,0,28408.1875,0.95259745,0.0
4775,138,29,2198.75,2.650134563446045,True,0,6978.05712890625,0.95230774,0.0
