total_steps,episode,episode_steps,episode_reward,episode_time,win,timestamp,repeated,loss,epsilon,intrinsic_reward
53,1,53,12.0,9.862521886825562,False,2025-10-24 23:31:05,0,61.436622619628906,0.99948052,0.0
132,2,79,10.0,20.594725370407104,True,2025-10-24 23:31:26,0,17.474365234375,0.99869131,0.0
162,3,30,7.0,4.3151915073394775,True,2025-10-24 23:31:32,0,65.12901306152344,0.99839161,0.0
201,4,39,9.0,5.888521432876587,False,2025-10-24 23:31:39,0,39.034305572509766,0.998002,0.0
232,5,31,7.0,4.423608779907227,True,2025-10-24 23:31:44,0,46.89324951171875,0.99769231,0.0
278,6,46,6.0,7.7992448806762695,False,2025-10-24 23:31:52,0,69.8965835571289,0.99723277,0.0
315,7,37,6.0,6.275935649871826,True,2025-10-24 23:31:59,0,100.98731231689453,0.99686314,0.0
353,8,38,7.0,6.88516640663147,False,2025-10-24 23:32:07,0,44.69465255737305,0.99648352,0.0
410,9,57,10.0,14.190880298614502,True,2025-10-24 23:32:22,0,120.35368347167969,0.99591409,0.0
506,10,96,10.0,33.70189428329468,False,2025-10-24 23:32:56,0,51.48271179199219,0.99495505,0.0
554,11,48,8.0,8.824193000793457,False,2025-10-24 23:33:06,0,34.49592590332031,0.99447553,0.0
572,12,18,6.0,2.2988197803497314,False,2025-10-24 23:33:09,0,75.53953552246094,0.99429571,0.0
619,13,47,9.0,8.889694213867188,False,2025-10-24 23:33:18,0,63.68042755126953,0.99382618,0.0
667,14,48,9.0,8.613121747970581,True,2025-10-24 23:33:27,0,147.7335968017578,0.99334666,0.0
714,15,47,10.0,7.731577157974243,True,2025-10-24 23:33:36,0,54.24669647216797,0.99287713,0.0
748,16,34,8.0,5.505508184432983,False,2025-10-24 23:33:42,0,31.946216583251953,0.99253747,0.0
785,17,37,7.0,6.58145809173584,True,2025-10-24 23:33:49,0,55.34961700439453,0.99216784,0.0
822,18,37,5.0,6.732892274856567,False,2025-10-24 23:33:57,0,57.758174896240234,0.99179821,0.0
869,19,47,10.0,9.482387781143188,False,2025-10-24 23:34:07,0,47.85460662841797,0.99132868,0.0
899,20,30,8.0,4.695733070373535,False,2025-10-24 23:34:12,0,53.27930450439453,0.99102898,0.0
930,21,31,8.0,5.509028673171997,False,2025-10-24 23:34:18,0,52.2320671081543,0.99071929,0.0
964,22,34,10.0,5.34267783164978,False,2025-10-24 23:34:24,0,21.28622817993164,0.99037963,0.0
994,23,30,7.0,4.581811904907227,False,2025-10-24 23:34:29,0,58.89746856689453,0.99007993,0.0
1056,24,62,12.0,78.03659582138062,False,2025-10-24 23:35:48,0,37.32090759277344,0.98946055,0.0
1087,25,31,10.0,3.635557174682617,False,2025-10-24 23:35:52,0,32.530677795410156,0.98915086,0.0
1125,26,38,8.0,5.133926153182983,False,2025-10-24 23:35:58,0,58.4777946472168,0.98877124,0.0
1146,27,21,7.0,2.7533185482025146,False,2025-10-24 23:36:01,0,58.150245666503906,0.98856145,0.0
