total_steps,episode,episode_steps,episode_reward,episode_time,win,repeated,loss,epsilon,intrinsic_reward
3361,84,35,5.76,8.246142864227295,False,4,3.611670970916748,0.0,0.0
3404,85,43,6.000000000000002,14.082501649856567,True,4,3.557832717895508,0.0,0.0
3456,86,52,6.000000000000001,15.7930269241333,True,4,3.564960479736328,0.0,0.0
3515,87,59,5.169999999999999,19.131956100463867,False,4,3.5939176082611084,0.0,0.0
3553,88,38,2.5300000000000002,9.409384727478027,False,4,3.623678684234619,0.0,0.0
3600,89,47,5.999999999999999,12.257436275482178,True,4,3.6135222911834717,0.0,0.0
3626,90,26,6.0,5.820719957351685,True,4,3.405571699142456,0.0,0.0
3728,91,102,4.830000000000001,52.04658246040344,False,4,3.4416189193725586,0.0,0.0
3768,92,40,6.0,10.522187232971191,True,4,3.629354476928711,0.0,0.0
3800,93,32,5.0,6.514336585998535,False,4,3.81396484375,0.0,0.0
3841,94,41,1.93,12.822164535522461,False,4,3.6608994007110596,0.0,0.0
3875,95,34,6.000000000000001,9.169299125671387,True,4,3.63025164604187,0.0,0.0
3907,96,32,5.0,7.568259239196777,False,4,3.553316116333008,0.0,0.0
3933,97,26,4.0,4.784172296524048,False,4,3.6988887786865234,0.0,0.0
3958,98,25,1.0,5.70843243598938,False,4,3.258718490600586,0.0,0.0
3986,99,28,3.98,6.25559663772583,False,4,3.708120107650757,0.0,0.0
4020,100,34,4.669999999999999,8.358090877532959,False,4,3.6623101234436035,0.0,0.0
4056,101,36,6.0,8.746103525161743,True,4,3.4810192584991455,0.0,0.0
4082,102,26,5.2,5.765219688415527,False,4,3.4565072059631348,0.0,0.0
4113,103,31,5.86,6.30176305770874,False,4,3.664076805114746,0.0,0.0
4154,104,41,2.3000000000000003,12.744572877883911,False,4,3.727023124694824,0.0,0.0
4198,105,44,5.0,11.580217361450195,False,4,3.6639902591705322,0.0,0.0
4230,106,32,5.910000000000001,5.816347599029541,False,4,3.6879773139953613,0.0,0.0
4280,107,50,4.159999999999999,11.50531816482544,False,4,3.654141902923584,0.0,0.0
4304,108,24,5.96,3.7021257877349854,False,4,3.558084726333618,0.0,0.0
4330,109,26,6.0,5.226233720779419,True,4,3.619283676147461,0.0,0.0
4372,110,42,2.0,9.736134767532349,False,4,3.633903980255127,0.0,0.0
4416,111,44,3.2199999999999998,4.997948169708252,False,4,3.6927237510681152,0.0,0.0
4457,112,41,4.56,4.4208760261535645,False,4,3.6237850189208984,0.0,0.0
4535,113,78,6.0,13.401453256607056,True,4,3.575587749481201,0.0,0.0
4588,114,53,5.999999999999998,7.08415961265564,True,4,3.6445960998535156,0.0,0.0
4667,115,79,5.08,12.57944369316101,False,4,3.4740240573883057,0.0,0.0
4699,116,32,6.000000000000002,2.498547315597534,True,4,3.67934250831604,0.0,0.0
4736,117,37,5.42,3.727454662322998,False,4,3.625555992126465,0.0,0.0
4779,118,43,2.4300000000000006,4.553560495376587,False,4,3.687040328979492,0.0,0.0
4803,119,24,3.0,2.3725056648254395,False,4,3.5266196727752686,0.0,0.0
4830,120,27,6.0,2.0896835327148438,True,4,3.619004249572754,0.0,0.0
4863,121,33,6.0,3.3675448894500732,True,4,3.7295310497283936,0.0,0.0
4902,122,39,4.8500000000000005,4.300861358642578,False,4,3.40459942817688,0.0,0.0
4934,123,32,5.92,2.4442837238311768,False,4,3.3282172679901123,0.0,0.0
4982,124,48,4.660000000000001,5.374695539474487,False,4,3.55436110496521,0.0,0.0
5012,125,30,2.33,3.105677604675293,False,4,3.6373836994171143,0.0,0.0
5050,126,38,4.27,4.10392951965332,False,4,3.5760066509246826,0.0,0.0
5086,127,36,5.999999999999998,3.9702892303466797,True,4,3.5368192195892334,0.0,0.0
5128,128,42,3.089999999999999,5.893849611282349,False,4,3.5581283569335938,0.0,0.0
5185,129,57,5.430000000000002,7.773386478424072,False,4,3.508307456970215,0.0,0.0
5202,130,17,2.2,1.8554399013519287,False,4,3.5639419555664062,0.0,0.0
5243,131,41,3.91,4.660169839859009,False,4,3.6042726039886475,0.0,0.0
5301,132,58,5.999999999999999,6.997686862945557,True,4,3.5193026065826416,0.0,0.0
5339,133,38,0.99,4.091980934143066,False,4,3.674814224243164,0.0,0.0
5366,134,27,4.88,2.7325117588043213,False,4,3.4156808853149414,0.0,0.0
5399,135,33,2.84,2.614509105682373,False,4,3.5755977630615234,0.0,0.0
5429,136,30,2.4899999999999998,3.379666566848755,False,4,3.683269500732422,0.0,0.0
5469,137,40,5.999999999999999,3.9896228313446045,True,4,3.7014970779418945,0.0,0.0
5540,138,71,5.69,9.88838529586792,False,4,3.5055456161499023,0.0,0.0
5562,139,22,1.1,1.6839847564697266,False,4,3.5850062370300293,0.0,0.0
5596,140,34,4.920000000000001,2.5137667655944824,False,4,3.5383834838867188,0.0,0.0
5655,141,59,4.359999999999999,7.408542633056641,False,4,3.616036891937256,0.0,0.0
5689,142,34,5.53,3.865654706954956,False,4,3.5845015048980713,0.0,0.0
5715,143,26,5.999999999999999,2.8441002368927,True,4,3.6956911087036133,0.0,0.0
5762,144,47,4.390000000000001,7.373226165771484,False,4,3.5227019786834717,0.0,0.0
5801,145,39,1.2999999999999998,5.218033790588379,False,4,3.6170029640197754,0.0,0.0
5836,146,35,6.0,3.3083462715148926,True,4,3.43025803565979,0.0,0.0
