total_steps,episode,episode_steps,episode_reward,episode_time,win,timestamp,repeated,loss,epsilon,intrinsic_reward
1919,51,46,8.0,9.994722843170166,False,2025-10-25 11:34:13,0,0.2243705093860626,0.98083918,0.0
1956,52,37,4.0,7.432084798812866,False,2025-10-25 11:34:22,0,0.4224145412445068,0.98046955,0.0
2036,53,80,8.0,61.17592763900757,False,2025-10-25 11:35:24,0,0.1680771261453628,0.97967035,0.0
2105,54,69,8.0,16.416186809539795,True,2025-10-25 11:35:41,0,0.317211389541626,0.97898104,0.0
2154,55,49,4.0,7.487218379974365,False,2025-10-25 11:35:49,0,0.0991222411394119,0.97849153,0.0
2195,56,41,1.0,5.030160665512085,False,2025-10-25 11:35:54,0,0.114260658621788,0.97808194,0.0
2258,57,63,8.0,13.97578501701355,False,2025-10-25 11:36:09,0,0.2019251883029937,0.97745257,0.0
2290,58,32,6.0,4.528167486190796,False,2025-10-25 11:36:14,0,0.1812705993652343,0.97713289,0.0
2313,59,23,3.0,2.8351526260375977,False,2025-10-25 11:36:18,0,0.155386596918106,0.97690312,0.0
2340,60,27,3.0,3.322798252105713,False,2025-10-25 11:36:22,0,0.3556926250457763,0.97663339,0.0
2376,61,36,5.0,3.9064435958862314,True,2025-10-25 11:36:26,0,0.1571459025144577,0.97627375,0.0
2409,62,33,2.0,3.4341816902160645,False,2025-10-25 11:36:30,0,0.182916834950447,0.97594408,0.0
2442,63,33,6.0,4.30790901184082,False,2025-10-25 11:36:35,0,0.2246753573417663,0.97561441,0.0
2510,64,68,6.0,12.321266651153564,False,2025-10-25 11:36:48,0,0.1668123602867126,0.97493509,0.0
2562,65,52,8.0,7.712783098220825,False,2025-10-25 11:36:56,0,0.1171317994594574,0.97441561,0.0
2611,66,49,5.0,11.30913543701172,False,2025-10-25 11:37:08,0,0.1501295715570449,0.9739261,0.0
2646,67,35,4.0,6.656469345092773,False,2025-10-25 11:37:15,0,0.1607645153999328,0.97357645,0.0
2675,68,29,5.0,4.985592365264893,False,2025-10-25 11:37:21,0,0.1431320160627365,0.97328674,0.0
2708,69,33,4.0,5.895443677902222,False,2025-10-25 11:37:28,0,0.1066440641880035,0.97295707,0.0
2747,70,39,3.0,7.408043384552002,False,2025-10-25 11:37:36,0,0.1641903817653656,0.97256746,0.0
2781,71,34,0.0,7.448394060134888,False,2025-10-25 11:37:44,0,0.2027590572834015,0.9722278,0.0
2808,72,27,1.0,4.497885942459106,False,2025-10-25 11:37:49,0,0.1526416540145874,0.97195807,0.0
2848,73,40,5.0,8.172120332717896,False,2025-10-25 11:37:59,0,0.1310822665691375,0.97155847,0.0
