total_steps,episode,episode_steps,episode_reward,episode_time,win,timestamp,repeated,loss,epsilon,intrinsic_reward
42,1,42,8.0,4.014239311218262,False,2025-10-25 11:18:24,0,8.318498611450195,0.99959041,0.0
100,2,58,18.0,5.873534917831421,False,2025-10-25 11:18:31,0,3.266828775405884,0.99901099,0.0
140,3,40,11.0,3.5483360290527344,False,2025-10-25 11:18:35,0,3.2100636959075928,0.99861139,0.0
179,4,39,8.0,3.613415479660034,False,2025-10-25 11:18:38,0,4.845151901245117,0.99822178,0.0
217,5,38,8.0,3.84869122505188,True,2025-10-25 11:18:43,0,3.486051559448242,0.99784216,0.0
251,6,34,9.0,4.164780378341675,False,2025-10-25 11:18:47,0,5.302465438842773,0.9975025,0.0
300,7,49,10.0,11.038636922836304,False,2025-10-25 11:18:59,0,1.8523826599121094,0.99701299,0.0
332,8,32,9.0,5.271368980407715,False,2025-10-25 11:19:05,0,1.5026386976242065,0.99669331,0.0
405,9,73,12.0,15.150165557861328,False,2025-10-25 11:19:21,0,1.0539065599441528,0.99596404,0.0
443,10,38,9.0,6.847849369049072,False,2025-10-25 11:19:28,0,1.2085659503936768,0.99558442,0.0
485,11,42,10.0,7.373288869857788,False,2025-10-25 11:19:36,0,1.5153487920761108,0.99516484,0.0
533,12,48,10.0,7.6295788288116455,False,2025-10-25 11:19:44,0,1.133002519607544,0.99468532,0.0
577,13,44,9.0,6.9703004360198975,True,2025-10-25 11:19:52,0,1.559248685836792,0.99424576,0.0
610,14,33,9.0,4.274473190307617,False,2025-10-25 11:19:57,0,1.744691014289856,0.99391609,0.0
655,15,45,11.0,7.547420978546143,False,2025-10-25 11:20:05,0,2.308595657348633,0.99346654,0.0
688,16,33,6.0,5.1500372886657715,True,2025-10-25 11:20:11,0,1.2098777294158936,0.99313687,0.0
733,17,45,8.0,7.325250148773193,False,2025-10-25 11:20:19,0,2.3647568225860596,0.99268732,0.0
758,18,25,8.0,3.751307249069214,False,2025-10-25 11:20:23,0,1.6330668926239014,0.99243757,0.0
804,19,46,7.0,8.59365200996399,False,2025-10-25 11:20:32,0,1.6632170677185059,0.99197803,0.0
836,20,32,6.0,4.941159725189209,False,2025-10-25 11:20:38,0,1.21207857131958,0.99165835,0.0
865,21,29,7.0,5.238922357559204,True,2025-10-25 11:20:44,0,2.0165657997131348,0.99136864,0.0
918,22,53,8.0,10.99146318435669,False,2025-10-25 11:20:56,0,1.1928014755249023,0.99083917,0.0
957,23,39,8.0,6.246995210647583,False,2025-10-25 11:21:03,0,1.2205135822296143,0.99044956,0.0
983,24,26,7.0,3.841506242752075,False,2025-10-25 11:21:07,0,1.5257985591888428,0.99018982,0.0
1022,25,39,12.0,81.21626138687134,False,2025-10-25 11:22:29,0,1.505947232246399,0.98980021,0.0
1053,26,31,8.0,5.001559734344482,False,2025-10-25 11:22:35,0,2.161898136138916,0.98949052,0.0
1104,27,51,7.0,10.743990421295166,False,2025-10-25 11:22:47,0,1.4863526821136475,0.98898103,0.0
1158,28,54,6.0,13.463797330856323,True,2025-10-25 11:23:02,0,2.439739465713501,0.98844157,0.0
1198,29,40,5.0,7.45910382270813,True,2025-10-25 11:23:10,0,1.506183385848999,0.98804197,0.0
1227,30,29,5.0,4.370877265930176,True,2025-10-25 11:23:15,0,1.3644136190414429,0.98775226,0.0
1254,31,27,6.0,3.3954477310180664,False,2025-10-25 11:23:19,0,1.5365803241729736,0.98748253,0.0
1287,32,33,13.0,4.516891002655029,True,2025-10-25 11:23:24,0,1.8841147422790527,0.98715286,0.0
1352,33,65,11.0,16.758669137954712,True,2025-10-25 11:23:42,0,1.69414484500885,0.98650351,0.0
1394,34,42,7.0,8.48825192451477,True,2025-10-25 11:23:51,0,2.5759925842285156,0.98608393,0.0
1424,35,30,6.0,5.826361656188965,True,2025-10-25 11:23:58,0,1.914350986480713,0.98578423,0.0
1456,36,32,8.0,4.644221305847168,False,2025-10-25 11:24:03,0,3.5053374767303467,0.98546455,0.0
1498,37,42,7.0,7.861976146697998,False,2025-10-25 11:24:12,0,4.915663242340088,0.98504497,0.0
1520,38,22,8.0,3.294557571411133,False,2025-10-25 11:24:16,0,2.988457202911377,0.98482519,0.0
1559,39,39,10.0,7.783876419067383,False,2025-10-25 11:24:25,0,2.242678165435791,0.98443558,0.0
1589,40,30,8.0,5.333543062210083,False,2025-10-25 11:24:31,0,3.174539089202881,0.98413588,0.0
1655,41,66,10.0,17.62799835205078,False,2025-10-25 11:24:50,0,2.7909467220306396,0.98347654,0.0
1684,42,29,7.0,4.377488613128662,False,2025-10-25 11:24:55,0,4.038942337036133,0.98318683,0.0
1732,43,48,10.0,8.421109199523926,False,2025-10-25 11:25:04,0,2.022972345352173,0.98270731,0.0
