total_steps,episode,episode_steps,episode_reward,episode_time,win,repeated,intrinsic_reward,loss,epsilon
2968,77,35,4.75,3.1739377975463867,False,0,0.0,4.2877278327941895,0.0
2993,78,25,6.0,2.301062822341919,True,0,0.0,4.083614349365234,0.0
3042,79,49,1.7000000000000002,5.398547887802124,False,0,0.0,3.966907262802124,0.0
3071,80,29,5.7299999999999995,2.910062551498413,False,0,0.0,3.8923087120056152,0.0
3111,81,40,6.0,4.141915321350098,True,0,0.0,3.8343210220336914,0.0
3151,82,40,5.999999999999999,4.127593278884888,True,0,0.0,3.9247524738311768,0.0
3179,83,28,5.999999999999999,2.995652914047241,True,0,0.0,3.603949546813965,0.0
3203,84,24,3.0,3.088258743286133,False,0,0.0,3.987110137939453,0.0
3242,85,39,6.000000000000001,4.743261814117432,True,0,0.0,4.4266037940979,0.0
3275,86,33,4.180000000000001,3.2589809894561768,False,0,0.0,4.403527736663818,0.0
3299,87,24,6.0,2.2935791015625,True,0,0.0,4.034921169281006,0.0
3341,88,42,5.0,4.216688632965088,False,0,0.0,3.813663959503174,0.0
3372,89,31,5.09,2.9346044063568115,False,0,0.0,3.7982585430145264,0.0
3401,90,29,6.0,2.4052398204803467,True,0,0.0,4.033394813537598,0.0
3433,91,32,3.0,3.3990042209625244,False,0,0.0,4.003746509552002,0.0
3460,92,27,6.000000000000001,2.640658378601074,True,0,0.0,3.8569657802581787,0.0
3515,93,55,6.0,6.606203317642212,True,0,0.0,4.060385704040527,0.0
3559,94,44,4.16,4.6728456020355225,False,0,0.0,4.223938941955566,0.0
3645,95,86,5.789999999999999,14.651893854141235,False,0,0.0,4.434342384338379,0.0
3683,96,38,3.33,3.9123568534851074,False,0,0.0,3.7981371879577637,0.0
3716,97,33,6.0,3.294064998626709,True,0,0.0,3.741454601287842,0.0
3755,98,39,5.099999999999998,3.7302439212799072,False,0,0.0,3.930600643157959,0.0
3794,99,39,5.999999999999999,4.734553813934326,True,0,0.0,3.9827592372894287,0.0
3831,100,37,4.000000000000001,4.391633987426758,False,0,0.0,3.881730794906616,0.0
3855,101,24,2.3099999999999996,2.200873851776123,False,0,0.0,4.105390548706055,0.0
3895,102,40,5.749999999999999,4.616716384887695,False,0,0.0,4.027255535125732,0.0
3917,103,22,5.999999999999999,2.0588793754577637,True,0,0.0,3.741683006286621,0.0
3971,104,54,5.74,5.995547771453857,False,0,0.0,3.9987878799438477,0.0
4007,105,36,2.869999999999999,3.590190887451172,False,0,0.0,3.740288257598877,0.0
4052,106,45,2.0000000000000004,5.4402241706848145,False,0,0.0,3.782851219177246,0.0
4093,107,41,3.92,4.604503154754639,False,0,0.0,4.078091144561768,0.0
4117,108,24,1.02,2.0281054973602295,False,0,0.0,3.9838995933532715,0.0
4145,109,28,6.0,2.989471435546875,True,0,0.0,4.000829696655273,0.0
4206,110,61,3.51,8.354327917098999,False,0,0.0,3.8529069423675537,0.0
4247,111,41,2.0,4.50703501701355,False,0,0.0,4.047015190124512,0.0
4297,112,50,5.999999999999999,6.526910066604614,True,0,0.0,3.7281599044799805,0.0
4321,113,24,1.4300000000000002,2.0642921924591064,False,0,0.0,4.199243545532227,0.0
4341,114,20,2.29,1.3591985702514648,False,0,0.0,4.254059314727783,0.0
4377,115,36,5.8,2.93601131439209,False,0,0.0,4.347002029418945,0.0
4416,116,39,1.7700000000000002,4.856039762496948,False,0,0.0,4.227320194244385,0.0
4447,117,31,5.509999999999999,3.6042938232421875,False,0,0.0,4.413696765899658,0.0
4487,118,40,5.190000000000001,4.798237085342407,False,0,0.0,3.9575095176696777,0.0
4512,119,25,5.930000000000001,2.2249982357025146,False,0,0.0,4.093904972076416,0.0
4552,120,40,3.0000000000000004,4.1915788650512695,False,0,0.0,4.184536933898926,0.0
4606,121,54,5.9999999999999964,6.650768041610718,True,0,0.0,3.9714508056640625,0.0
4637,122,31,4.72,3.155360221862793,False,0,0.0,3.7070016860961914,0.0
4674,123,37,6.000000000000001,3.6813461780548096,True,0,0.0,4.082155704498291,0.0
4707,124,33,4.55,2.6484341621398926,False,0,0.0,4.264175891876221,0.0
4782,125,75,5.999999999999999,11.585489988327026,True,0,0.0,3.933845281600952,0.0
4815,126,33,5.48,2.68688702583313,False,0,0.0,4.1614203453063965,0.0
4847,127,32,5.999999999999999,3.2125842571258545,True,0,0.0,3.813044786453247,0.0
4893,128,46,4.479999999999999,4.966128349304199,False,0,0.0,3.9965217113494873,0.0
4919,129,26,1.15,2.574375867843628,False,0,0.0,4.246089458465576,0.0
4990,130,71,5.999999999999999,10.628251075744629,True,0,0.0,4.505100250244141,0.0
5023,131,33,2.0,3.3652331829071045,False,0,0.0,4.302379608154297,0.0
5055,132,32,2.0,3.8826634883880615,False,0,0.0,3.746826410293579,0.0
5104,133,49,4.64,6.116845607757568,False,0,0.0,4.063462257385254,0.0
5132,134,28,5.85,2.833406686782837,False,0,0.0,4.124326705932617,0.0
5155,135,23,3.36,1.7647655010223389,False,0,0.0,3.6422009468078613,0.0
5182,136,27,1.29,2.7195770740509033,False,0,0.0,3.9963486194610596,0.0
5229,137,47,5.839999999999999,5.2130842208862305,False,0,0.0,4.157651424407959,0.0
5270,138,41,4.560000000000001,4.563732862472534,False,0,0.0,3.8287808895111084,0.0
5293,139,23,2.87,1.6183052062988281,False,0,0.0,3.9933056831359863,0.0
5322,140,29,2.36,3.610034942626953,False,0,0.0,3.8493576049804688,0.0
5358,141,36,1.87,4.643381595611572,False,0,0.0,4.051168918609619,0.0
5408,142,50,6.000000000000001,6.077510595321655,True,0,0.0,3.8739607334136963,0.0
5443,143,35,4.49,3.575007677078247,False,0,0.0,3.7077646255493164,0.0
5495,144,52,3.9999999999999996,6.714933395385742,False,0,0.0,3.8777456283569336,0.0
5526,145,31,4.24,3.42753267288208,False,0,0.0,3.810098648071289,0.0
5559,146,33,3.0,2.7968058586120605,False,0,0.0,4.169368743896484,0.0
5586,147,27,5.999999999999999,3.423845052719116,True,0,0.0,4.3202900886535645,0.0
5629,148,43,5.11,5.351603984832764,False,0,0.0,3.777252435684204,0.0
5660,149,31,4.63,3.3034183979034424,False,0,0.0,4.096134185791016,0.0
5710,150,50,5.420000000000001,8.45136308670044,False,0,0.0,4.320304870605469,0.0
5752,151,42,6.0,4.120157957077026,True,0,0.0,3.79130220413208,0.0
5785,152,33,5.519999999999999,3.8159682750701904,False,0,0.0,4.264655590057373,0.0
5827,153,42,5.999999999999999,4.723341703414917,True,0,0.0,4.214224338531494,0.0
5857,154,30,3.5999999999999996,3.2052383422851562,False,0,0.0,4.086189270019531,0.0
5905,155,48,0.9999999999999998,5.909560680389404,False,0,0.0,3.8961524963378906,0.0
5948,156,43,3.98,4.992215394973755,False,0,0.0,3.6182069778442383,0.0
5975,157,27,5.89,2.225327730178833,False,0,0.0,3.8654165267944336,0.0
6023,158,48,6.0,5.489002227783203,True,0,0.0,3.961165189743042,0.0
6065,159,42,3.84,4.708073377609253,False,0,0.0,4.29681921005249,0.0
6110,160,45,3.38,5.0830042362213135,False,0,0.0,3.6938118934631348,0.0
6205,161,95,6.0,19.317985773086548,True,0,0.0,4.166411399841309,0.0
6249,162,44,5.540000000000002,5.520204305648804,False,0,0.0,4.175843715667725,0.0
6299,163,50,5.999999999999999,6.806890964508057,True,0,0.0,3.7084262371063232,0.0
6338,164,39,3.49,3.642364740371704,False,0,0.0,3.782702684402466,0.0
6371,165,33,1.9999999999999998,3.7765486240386963,False,0,0.0,4.104830265045166,0.0
6397,166,26,3.9800000000000004,1.9425694942474365,False,0,0.0,4.588447570800781,0.0
6445,167,48,2.4600000000000004,6.389825105667114,False,0,0.0,4.056674003601074,0.0
6470,168,25,3.42,1.9762966632843018,False,0,0.0,4.378591537475586,0.0
6504,169,34,2.39,2.9502365589141846,False,0,0.0,3.901831865310669,0.0
6545,170,41,3.29,3.7372114658355713,False,0,0.0,4.059848785400391,0.0
6581,171,36,2.5799999999999996,4.143864631652832,False,0,0.0,4.106130599975586,0.0
6611,172,30,2.17,3.404273271560669,False,0,0.0,3.8119213581085205,0.0
6696,173,85,5.999999999999998,13.562852144241333,True,0,0.0,4.412615776062012,0.0
6812,174,116,3.0,28.136552572250366,False,0,0.0,4.250000953674316,0.0
6855,175,43,3.0,4.691179037094116,False,0,0.0,4.029923439025879,0.0
6887,176,32,6.0,2.712573766708374,True,0,0.0,4.040576457977295,0.0
6930,177,43,6.0,4.930249452590942,True,0,0.0,4.073858737945557,0.0
6966,178,36,3.5700000000000003,3.9326534271240234,False,0,0.0,3.665637731552124,0.0
6988,179,22,2.0,1.9856133460998535,False,0,0.0,4.047945976257324,0.0
7010,180,22,2.76,1.8114657402038574,False,0,0.0,4.154149055480957,0.0
7050,181,40,3.0,4.54959511756897,False,0,0.0,3.924508810043335,0.0
7083,182,33,6.000000000000001,2.7185909748077393,True,0,0.0,4.017670631408691,0.0
7127,183,44,4.000000000000002,5.15687370300293,False,0,0.0,3.9270596504211426,0.0
7146,184,19,2.24,1.331226110458374,False,0,0.0,4.252906799316406,0.0
7180,185,34,4.239999999999999,2.982823610305786,False,0,0.0,4.182507514953613,0.0
7268,186,88,5.690000000000002,16.726683855056763,False,0,0.0,3.9883570671081543,0.0
7291,187,23,2.94,2.1534292697906494,False,0,0.0,4.159310340881348,0.0
7313,188,22,5.0,2.951788902282715,False,0,0.0,3.9964873790740967,0.0
7360,189,47,2.3800000000000003,5.497382164001465,False,0,0.0,4.190712928771973,0.0
7398,190,38,3.1599999999999997,3.3978464603424072,False,0,0.0,4.419882774353027,0.0
7441,191,43,3.21,4.855159521102905,False,0,0.0,4.177563190460205,0.0
7474,192,33,4.0,3.786426305770874,False,0,0.0,3.9744319915771484,0.0
7505,193,31,5.999999999999999,2.414196252822876,True,0,0.0,4.495079517364502,0.0
7526,194,21,2.04,1.5591797828674316,False,0,0.0,3.878603458404541,0.0
7590,195,64,3.0799999999999996,9.219175815582275,False,0,0.0,4.563425064086914,0.0
7642,196,52,5.15,6.005469560623169,False,0,0.0,3.8463661670684814,0.0
7675,197,33,1.6900000000000002,4.013561725616455,False,0,0.0,4.043793201446533,0.0
7709,198,34,5.999999999999999,2.9797537326812744,True,0,0.0,4.4564900398254395,0.0
7737,199,28,2.4299999999999997,3.181368827819824,False,0,0.0,4.016763210296631,0.0
7776,200,39,5.999999999999999,3.537060260772705,True,0,0.0,4.108029365539551,0.0
7805,201,29,5.62,2.4578418731689453,False,0,0.0,3.932560443878174,0.0
7835,202,30,4.63,2.650028705596924,False,0,0.0,4.069004058837891,0.0
7859,203,24,3.33,3.597708225250244,False,0,0.0,4.1158599853515625,0.0
7897,204,38,5.800000000000001,3.9194726943969727,False,0,0.0,4.205173015594482,0.0
7927,205,30,1.6600000000000001,4.169156789779663,False,0,0.0,4.142964839935303,0.0
7989,206,62,5.63,7.772176265716553,False,0,0.0,4.2419819831848145,0.0
8014,207,25,2.32,3.0328075885772705,False,0,0.0,3.8678503036499023,0.0
8056,208,42,3.3900000000000006,4.723316431045532,False,0,0.0,4.2459330558776855,0.0
8094,209,38,5.0,3.290945053100586,False,0,0.0,4.142643451690674,0.0
8127,210,33,6.0,4.101953029632568,True,0,0.0,4.104176998138428,0.0
8163,211,36,5.150000000000001,3.3176040649414062,False,0,0.0,4.030935764312744,0.0
8206,212,43,5.73,5.026127576828003,False,0,0.0,4.037814617156982,0.0
8263,213,57,5.089999999999997,6.969330549240112,False,0,0.0,3.951112985610962,0.0
8294,214,31,6.0,3.683931350708008,True,0,0.0,3.7975265979766846,0.0
8322,215,28,2.8,2.1638295650482178,False,0,0.0,3.6608686447143555,0.0
8350,216,28,3.04,3.4046976566314697,False,0,0.0,3.9017319679260254,0.0
8383,217,33,3.7,2.7225356101989746,False,0,0.0,4.033270835876465,0.0
8406,218,23,2.4399999999999995,1.6803123950958252,False,0,0.0,3.9062588214874268,0.0
8465,219,59,6.0,9.274881839752197,True,0,0.0,4.2693705558776855,0.0
8511,220,46,4.1,6.040168523788452,False,0,0.0,4.1428093910217285,0.0
8536,221,25,2.8099999999999996,2.2581377029418945,False,0,0.0,4.299562931060791,0.0
8573,222,37,3.54,4.337462663650513,False,0,0.0,4.1590118408203125,0.0
8601,223,28,6.0,2.3209872245788574,True,0,0.0,4.25663423538208,0.0
8644,224,43,4.63,5.284791469573975,False,0,0.0,4.63897705078125,0.0
8710,225,66,6.0,8.373930931091309,True,0,0.0,4.301758289337158,0.0
8740,226,30,4.83,2.497467517852783,False,0,0.0,3.9015588760375977,0.0
8771,227,31,5.09,2.3132638931274414,False,0,0.0,3.776752471923828,0.0
8787,228,16,1.0,1.1955103874206543,False,0,0.0,4.08416748046875,0.0
8819,229,32,5.999999999999999,3.909951686859131,True,0,0.0,4.082658290863037,0.0
8860,230,41,4.8100000000000005,3.6768569946289062,False,0,0.0,4.273830413818359,0.0
8942,231,82,2.8699999999999997,13.718849897384644,False,0,0.0,3.928805351257324,0.0
8967,232,25,3.7800000000000007,2.8808724880218506,False,0,0.0,4.277210235595703,0.0
9016,233,49,5.999999999999998,6.7094221115112305,True,0,0.0,3.9215047359466553,0.0
9045,234,29,2.0,2.9577951431274414,False,0,0.0,3.9650728702545166,0.0
9096,235,51,6.0,7.073361396789551,True,0,0.0,4.084261417388916,0.0
9120,236,24,2.62,1.9583780765533447,False,0,0.0,3.9901609420776367,0.0
9154,237,34,5.680000000000001,270.8657898902893,False,0,0.0,3.917194366455078,0.0
9190,238,36,6.0,6.744374513626099,True,0,0.0,3.757354736328125,0.0
9223,239,33,3.1999999999999997,8.456904888153076,False,0,0.0,4.271115303039551,0.0
9260,240,37,4.09,6.958420753479004,False,0,0.0,4.157985210418701,0.0
9289,241,29,4.8,4.9816014766693115,False,0,0.0,4.143614768981934,0.0
9309,242,20,3.0,1.9465417861938477,False,0,0.0,4.157686233520508,0.0
9362,243,53,4.13,8.874571084976196,False,0,0.0,3.8567376136779785,0.0
9412,244,50,2.2499999999999996,8.338418245315552,False,0,0.0,3.674466371536255,0.0
9450,245,38,4.999999999999999,4.52632999420166,False,0,0.0,4.172188758850098,0.0
9477,246,27,6.0,4.06050968170166,True,0,0.0,4.096155166625977,0.0
9530,247,53,2.24,8.457264184951782,False,0,0.0,3.941155433654785,0.0
9580,248,50,2.49,7.357803106307983,False,0,0.0,4.381399154663086,0.0
9620,249,40,4.68,5.293304681777954,False,0,0.0,3.9523675441741943,0.0
9669,250,49,4.37,8.454785823822021,False,0,0.0,3.673293113708496,0.0
9696,251,27,1.9100000000000001,4.637105464935303,False,0,0.0,4.587911605834961,0.0
9750,252,54,6.0,9.239557266235352,True,0,0.0,3.9808406829833984,0.0
9779,253,29,3.8099999999999996,8.05042839050293,False,0,0.0,4.279784202575684,0.0
9816,254,37,6.0,14.680193185806274,True,0,0.0,3.862332820892334,0.0
9847,255,31,3.63,9.939591646194458,False,0,0.0,3.789393186569214,0.0
9885,256,38,5.63,14.691287279129028,False,0,0.0,3.8715662956237793,0.0
9951,257,66,1.0,33.34771752357483,False,0,0.0,3.902085542678833,0.0
10039,258,88,3.94,223.44574069976807,False,0,0.0,4.094936370849609,0.0
10078,259,39,5.120000000000001,13.235386371612549,False,0,0.0,4.1033782958984375,0.0
10118,260,40,3.999999999999999,13.360910654067993,False,0,0.0,3.823150634765625,0.0
10150,261,32,2.12,8.6399405002594,False,0,0.0,3.785025119781494,0.0
10180,262,30,1.5499999999999998,10.274919509887695,False,0,0.0,4.450990200042725,0.0
10215,263,35,4.0,11.380304098129272,False,0,0.0,4.143962860107422,0.0
