total_steps,episode,episode_steps,episode_reward,episode_time,win,repeated,loss,epsilon,intrinsic_reward
802,24,28,7.8820799512689845,7.505753755569458,True,0,2.5491247177124023,0.0,0.0
827,25,25,7.772162876296274,6.694202661514282,True,0,4.254568576812744,0.0,0.0
871,26,44,11.939634079221351,17.006035089492798,False,0,3.7144761085510254,0.0,0.0
899,27,28,8.726576877058463,6.666529417037964,False,0,4.290733814239502,0.0,0.0
949,28,50,11.62004187947103,15.016988754272461,True,0,5.341385841369629,0.0,0.0
979,29,30,7.527437965640721,6.924510717391968,False,0,2.7049615383148193,0.0,0.0
1032,30,53,11.93508782177401,127.03880286216736,False,0,4.226398944854736,0.0,0.0
1065,31,33,7.853911750805573,8.175929546356201,True,0,4.717012882232666,0.0,0.0
1102,32,37,12.298339288976143,10.723959922790527,False,0,3.290194034576416,0.0,0.0
1138,33,36,9.32275153579175,10.38087511062622,False,0,4.412368297576904,0.0,0.0
1178,34,40,12.632938740083343,11.76080322265625,True,0,5.0441083908081055,0.0,0.0
1210,35,32,11.434390147306791,9.05210566520691,False,0,2.4114327430725098,0.0,0.0
1242,36,32,11.05435521612415,10.636202096939087,True,0,4.311175346374512,0.0,0.0
1282,37,40,9.453649347923752,14.445779800415039,False,0,2.923361301422119,0.0,0.0
1306,38,24,9.193779800262075,6.638371467590332,False,0,4.401736259460449,0.0,0.0
1362,39,56,11.617948083417861,22.284534692764282,True,0,2.678023338317871,0.0,0.0
1394,40,32,8.034733384462537,7.727847337722778,False,0,4.053897380828857,0.0,0.0
1429,41,35,7.240954008296135,10.998752355575562,False,0,4.402694225311279,0.0,0.0
1464,42,35,9.108070804159402,13.258714199066162,False,0,5.659312725067139,0.0,0.0
1503,43,39,8.657271311189556,12.0497407913208,False,0,2.918935775756836,0.0,0.0
1542,44,39,11.52318458497198,11.579455852508545,True,0,6.0860137939453125,0.0,0.0
1570,45,28,10.572773306024994,6.853241920471191,False,0,5.012915134429932,0.0,0.0
1596,46,26,6.81619005027528,6.843738079071045,False,0,3.4604201316833496,0.0,0.0
1623,47,27,11.07523014779973,7.228780031204224,True,0,3.2760915756225586,0.0,0.0
1667,48,44,10.826492825469398,14.659590721130371,False,0,3.4431045055389404,0.0,0.0
1699,49,32,6.449375132461584,8.990220785140991,False,0,2.739443778991699,0.0,0.0
1721,50,22,7.941532429723176,5.655367136001587,True,0,2.6757047176361084,0.0,0.0
1774,51,53,9.156875095103441,18.720227241516113,False,0,3.718149423599243,0.0,0.0
1810,52,36,12.254669618718491,11.06335973739624,True,0,4.678955554962158,0.0,0.0
1842,53,32,9.977682006107043,8.912139415740967,True,0,4.619975566864014,0.0,0.0
1883,54,41,7.98844859871198,14.056551218032837,False,0,4.834085941314697,0.0,0.0
1941,55,58,5.67862181556891,23.618671655654907,True,0,4.026730537414551,0.0,0.0
1985,56,44,7.797445258226702,14.015149116516113,False,0,4.48130989074707,0.0,0.0
2036,57,51,8.841810191182763,120.18866205215454,True,0,4.602420806884766,0.0,0.0
2069,58,33,8.344066956818873,9.288296461105347,False,0,4.8095622062683105,0.0,0.0
2106,59,37,7.5823023957178535,10.028225898742676,True,0,4.280251502990723,0.0,0.0
2130,60,24,7.8257666407468705,5.3962297439575195,False,0,3.3232421875,0.0,0.0
2170,61,40,11.731815161365065,11.957993030548096,False,0,5.8798627853393555,0.0,0.0
2204,62,34,6.732540432614325,9.37570595741272,False,0,4.377336025238037,0.0,0.0
