total_steps,episode,episode_steps,episode_reward,episode_time,win,repeated,intrinsic_reward,loss,epsilon
30,1,30,2.7100000000000004,2.2651588916778564,False,0,0.0,,
55,2,25,1.52,2.750467538833618,False,1,0.0,3.8673949241638175,0.0
82,3,27,4.59,3.8359038829803462,False,1,0.0,3.87394118309021,0.0
125,4,43,5.35,6.768336772918701,False,2,0.0,3.759264945983887,0.0
167,5,42,5.999999999999998,8.34851861000061,True,2,0.0,3.8314168453216553,0.0
220,6,53,6.0,8.791655778884888,True,3,0.0,3.912469148635864,0.0
263,7,43,3.42,4.639163255691528,False,3,0.0,3.938787460327149,0.0
297,8,34,5.299999999999999,4.460797309875488,False,3,0.0,3.8195180892944336,0.0
320,9,23,3.62,2.581020832061768,False,3,0.0,3.672165632247925,0.0
386,10,66,2.739999999999999,11.647021532058716,False,3,0.0,3.603518009185791,0.0
416,11,30,4.9,3.40659236907959,False,3,0.0,3.910531997680664,0.0
448,12,32,2.34,4.177355051040649,False,3,0.0,3.760598182678223,0.0
485,13,37,5.000000000000001,4.059241771697998,False,3,0.0,3.897619485855103,0.0
545,14,60,4.280000000000001,11.039661645889282,False,3,0.0,3.891369581222534,0.0
649,15,104,6.000000000000001,29.468260288238525,True,3,0.0,3.667170286178589,0.0
692,16,43,5.999999999999999,5.504648447036743,True,4,0.0,3.848855018615722,0.0
728,17,36,0.9999999999999996,4.574753284454346,False,4,0.0,3.772569417953491,0.0
752,18,24,6.0,2.888953924179077,True,4,0.0,3.893388271331787,0.0
796,19,44,6.0,5.642114400863648,True,4,0.0,3.848986148834229,0.0
833,20,37,4.51,3.8914544582366943,False,4,0.0,3.782175302505493,0.0
866,21,33,6.0,3.547030448913574,True,4,0.0,3.837189912796021,0.0
938,22,72,5.91,13.19876790046692,False,4,0.0,3.888981580734253,0.0
1001,23,63,2.7,9.76861572265625,False,4,0.0,3.859052419662476,0.0
1029,24,28,3.0,4.80445408821106,False,4,0.0,3.8704020977020255,0.0
1092,25,63,5.0,11.673056840896606,False,4,0.0,3.7845284938812256,0.0
1130,26,38,2.6,4.603916645050049,False,4,0.0,3.6761882305145264,0.0
1152,27,22,3.3200000000000003,2.267160415649414,False,4,0.0,3.828538179397583,0.0
1175,28,23,4.73,2.440784454345703,False,4,0.0,3.761032819747925,0.0
1211,29,36,3.88,4.717371702194214,False,4,0.0,3.877199649810791,0.0
1271,30,60,6.000000000000001,11.484562397003174,True,4,0.0,3.760134935379028,0.0
1305,31,34,4.62,6.29423975944519,False,4,0.0,3.86539363861084,0.0
1333,32,28,2.43,2.695240020751953,False,4,0.0,3.825703620910645,0.0
1369,33,36,1.4,3.7990880012512207,False,4,0.0,3.8078866004943848,0.0
1398,34,29,5.23,2.73436975479126,False,4,0.0,3.803112506866455,0.0
1420,35,22,1.85,2.1147584915161133,False,4,0.0,3.8600687980651855,0.0
1443,36,23,1.37,1.7864999771118164,False,4,0.0,3.8067548274993896,0.0
1471,37,28,4.000000000000001,2.8581202030181885,False,4,0.0,3.856431722640991,0.0
1497,38,26,3.8,4.208768606185913,False,4,0.0,3.787787437438965,0.0
1527,39,30,4.0,5.01993465423584,False,4,0.0,3.850774765014648,0.0
1551,40,24,3.53,3.250812292098999,False,4,0.0,3.85543441772461,0.0
1606,41,55,4.0,6.755756378173828,False,4,0.0,3.7856228351593018,0.0
1654,42,48,5.96,5.53598427772522,False,4,0.0,3.6854090690612793,0.0
1696,43,42,5.999999999999998,5.48271369934082,True,4,0.0,3.729089975357056,0.0
