total_steps,episode,episode_steps,episode_reward,episode_time,win,timestamp,repeated,intrinsic_reward,loss,epsilon
1890,52,22,-1.0,2.3241474628448486,False,2025-10-25 13:55:41,0,0.0,1097022.75,0.98112889
1924,53,34,-1.0,4.614686965942383,False,2025-10-25 13:55:47,0,0.0,1124149.5,0.98078923
2038,54,114,-1.0,86.1522855758667,False,2025-10-25 13:57:14,0,0.0,2648646.5,0.97965037
2080,55,42,-1.0,6.767498016357422,False,2025-10-25 13:57:21,0,0.0,1831919.25,0.97923079
2107,56,27,-1.0,3.597963809967041,False,2025-10-25 13:57:26,0,0.0,1339997.75,0.97896106
2130,57,23,-1.0,3.082284927368164,False,2025-10-25 13:57:29,0,0.0,2514000.0,0.97873129
2182,58,52,-1.0,9.606616973876953,False,2025-10-25 13:57:40,0,0.0,3475942.75,0.97821181
2214,59,32,-1.0,4.542928457260132,False,2025-10-25 13:57:45,0,0.0,2712003.0,0.97789213
2246,60,32,-1.0,3.9547202587127686,False,2025-10-25 13:57:50,0,0.0,3499911.5,0.97757245
2273,61,27,-1.0,3.579995632171631,False,2025-10-25 13:57:54,0,0.0,3836895.25,0.97730272
2337,62,64,1.0,13.041725873947144,True,2025-10-25 13:58:07,0,0.0,4195738.0,0.97666336
2375,63,38,-1.0,5.929566383361816,False,2025-10-25 13:58:14,0,0.0,25607484.0,0.97628374
2431,64,56,1.0,10.13562560081482,True,2025-10-25 13:58:25,0,0.0,14728002.0,0.9757243
2457,65,26,-1.0,3.5349864959716797,False,2025-10-25 13:58:29,0,0.0,18285966.0,0.97546456
2498,66,41,1.0,6.555346488952637,True,2025-10-25 13:58:36,0,0.0,28301844.0,0.97505497
2527,67,29,-1.0,3.930739164352417,False,2025-10-25 13:58:41,0,0.0,34083104.0,0.97476526
2556,68,29,-1.0,3.8326263427734375,False,2025-10-25 13:58:45,0,0.0,36448272.0,0.97447555
2625,69,69,-1.0,15.175983905792236,False,2025-10-25 13:59:01,0,0.0,35252508.0,0.97378624
2753,70,128,-1.0,47.08019304275513,False,2025-10-25 13:59:49,0,0.0,29942840.0,0.97250752
2789,71,36,-1.0,6.607426404953003,False,2025-10-25 13:59:56,0,0.0,38717976.0,0.97214788
2827,72,38,-1.0,6.956251382827759,False,2025-10-25 14:00:04,0,0.0,26546636.0,0.97176826
2861,73,34,-1.0,4.6287760734558105,False,2025-10-25 14:00:09,0,0.0,37186064.0,0.9714286
2894,74,33,-1.0,4.616370439529419,False,2025-10-25 14:00:15,0,0.0,36844748.0,0.97109893
2916,75,22,-1.0,2.984187602996826,False,2025-10-25 14:00:18,0,0.0,37454588.0,0.97087915
2954,76,38,-1.0,6.959045886993408,False,2025-10-25 14:00:26,0,0.0,64272068.0,0.97049953
3029,77,75,-1.0,69.38118577003479,False,2025-10-25 14:01:36,0,0.0,55446876.0,0.96975028
3056,78,27,-1.0,3.8935763835906982,False,2025-10-25 14:01:41,0,0.0,43527056.0,0.96948055
3082,79,26,-1.0,3.1062893867492676,False,2025-10-25 14:01:44,0,0.0,47937100.0,0.96922081
3109,80,27,-1.0,3.560703992843628,False,2025-10-25 14:01:49,0,0.0,47811408.0,0.96895108
3168,81,59,1.0,11.90143632888794,True,2025-10-25 14:02:01,0,0.0,52089116.0,0.96836167
3212,82,44,-1.0,6.614766836166382,False,2025-10-25 14:02:08,0,0.0,86971544.0,0.96792211
3245,83,33,-1.0,4.808664560317993,False,2025-10-25 14:02:14,0,0.0,118431512.0,0.96759244
3279,84,34,-1.0,5.447401285171509,False,2025-10-25 14:02:20,0,0.0,102377216.0,0.96725278
3320,85,41,-1.0,5.869812250137329,False,2025-10-25 14:02:26,0,0.0,126748176.0,0.96684319
3381,86,61,-1.0,11.776597499847412,False,2025-10-25 14:02:39,0,0.0,115898288.0,0.9662338
3419,87,38,-1.0,6.059231758117676,False,2025-10-25 14:02:45,0,0.0,58894900.0,0.96585418
3449,88,30,-1.0,4.0721845626831055,False,2025-10-25 14:02:50,0,0.0,162813232.0,0.96555448
3514,89,65,-1.0,13.071832418441772,False,2025-10-25 14:03:04,0,0.0,174808064.0,0.96490513
3559,90,45,-1.0,6.888775587081909,False,2025-10-25 14:03:11,0,0.0,180725152.0,0.96445558
3588,91,29,-1.0,3.473783016204834,False,2025-10-25 14:03:16,0,0.0,163710736.0,0.96416587
3629,92,41,-1.0,6.026662111282349,False,2025-10-25 14:03:22,0,0.0,170862208.0,0.96375628
3656,93,27,-1.0,3.143646478652954,False,2025-10-25 14:03:26,0,0.0,242387920.0,0.96348655
3684,94,28,1.0,3.297595977783203,True,2025-10-25 14:03:30,0,0.0,196706944.0,0.96320683
3713,95,29,-1.0,4.267465829849243,False,2025-10-25 14:03:35,0,0.0,287729664.0,0.96291712
3777,96,64,1.0,12.047173261642456,True,2025-10-25 14:03:48,0,0.0,240307456.0,0.96227776
3811,97,34,-1.0,4.973037004470825,False,2025-10-25 14:03:53,0,0.0,308800704.0,0.9619381
3854,98,43,1.0,6.422300100326538,True,2025-10-25 14:04:00,0,0.0,209248000.0,0.96150853
3897,99,43,-1.0,6.69722580909729,False,2025-10-25 14:04:08,0,0.0,920877056.0,0.96107896
3920,100,23,-1.0,3.402559757232666,False,2025-10-25 14:04:12,0,0.0,736751680.0,0.96084919
3950,101,30,-1.0,4.864444017410278,False,2025-10-25 14:04:18,0,0.0,434036160.0,0.96054949
3990,102,40,-1.0,6.939889192581177,False,2025-10-25 14:04:25,0,0.0,475041920.0,0.96014989
4025,103,35,-1.0,86.5287938117981,False,2025-10-25 14:05:53,0,0.0,571403392.0,0.95980024
4100,104,75,-1.0,21.142777919769287,False,2025-10-25 14:06:15,0,0.0,790444288.0,0.95905099
4135,105,35,-1.0,6.010131120681763,False,2025-10-25 14:06:21,0,0.0,542101248.0,0.95870134
4151,106,16,-1.0,1.7261910438537598,False,2025-10-25 14:06:24,0,0.0,587865600.0,0.9585415
4181,107,30,-1.0,5.031609058380127,False,2025-10-25 14:06:30,0,0.0,488378112.0,0.9582418
4218,108,37,-1.0,6.375659942626953,False,2025-10-25 14:06:37,0,0.0,719577088.0,0.95787217
4245,109,27,-1.0,4.019615650177002,False,2025-10-25 14:06:41,0,0.0,680847040.0,0.95760244
4290,110,45,-1.0,8.536996126174927,False,2025-10-25 14:06:51,0,0.0,643429184.0,0.95715289
4324,111,34,-1.0,5.5283098220825195,False,2025-10-25 14:06:57,0,0.0,1028960768.0,0.95681323
4356,112,32,-1.0,4.498695373535156,False,2025-10-25 14:07:02,0,0.0,764278528.0,0.95649355
4382,113,26,-1.0,3.127152919769287,False,2025-10-25 14:07:07,0,0.0,1111943040.0,0.95623381
4412,114,30,-1.0,4.443464517593384,False,2025-10-25 14:07:12,0,0.0,997582912.0,0.95593411
