total_steps,episode,episode_steps,episode_reward,episode_time,win,timestamp,repeated,intrinsic_reward,loss,epsilon
1988,50,51,-1.3971196903033973,10.482933521270752,False,2025-10-25 18:40:11,0,0.0,0.030364464968442917,0.98014987
2044,51,56,1.4506511407607288,104.31698560714722,True,2025-10-25 18:41:56,0,0.0,0.03798875957727432,0.97959043
2084,52,40,-1.5120502580229853,9.89836311340332,False,2025-10-25 18:42:08,0,0.0,0.07317082583904266,0.97919083
2111,53,27,-1.4830575373006347,4.276077508926392,False,2025-10-25 18:42:13,0,0.0,0.10053452849388123,0.9789211
2150,54,39,-1.3217258841060326,7.933135509490967,False,2025-10-25 18:42:21,0,0.0,0.05992317944765091,0.97853149
2185,55,35,-1.6467037313491129,5.10710334777832,False,2025-10-25 18:42:27,0,0.0,0.033533789217472076,0.97818184
2212,56,27,-1.597622073274735,2.827732801437378,False,2025-10-25 18:42:31,0,0.0,0.03787115216255188,0.97791211
2236,57,24,-1.6349966953073367,2.904472827911377,False,2025-10-25 18:42:34,0,0.0,0.04217079281806946,0.97767235
2283,58,47,1.3843612850630596,6.776226997375488,True,2025-10-25 18:42:41,0,0.0,0.16103917360305786,0.97720282
2311,59,28,-1.6574840306298115,4.414525508880615,False,2025-10-25 18:42:46,0,0.0,0.10133029520511627,0.9769231
2345,60,34,-1.0844829973382988,5.945667028427124,False,2025-10-25 18:42:53,0,0.0,0.06949837505817413,0.97658344
2371,61,26,-1.7450494704260855,5.535657644271851,False,2025-10-25 18:42:59,0,0.0,0.04208839684724808,0.9763237
2413,62,42,1.3641563884647039,12.07758355140686,True,2025-10-25 18:43:12,0,0.0,0.05752074718475342,0.97590412
2476,63,63,-1.302319409401479,20.0983624458313,False,2025-10-25 18:43:34,0,0.0,0.02523506060242653,0.97527475
2513,64,37,1.420445162132185,7.405930042266846,True,2025-10-25 18:43:42,0,0.0,0.10983110964298248,0.97490512
2560,65,47,-0.8798784888043101,10.00942087173462,False,2025-10-25 18:43:53,0,0.0,0.02809317409992218,0.97443559
2586,66,26,-1.7874729989935763,4.383908748626709,False,2025-10-25 18:43:59,0,0.0,0.05809697508811951,0.97417585
2635,67,49,-0.8664767364280879,12.903618097305298,False,2025-10-25 18:44:12,0,0.0,0.02058340609073639,0.97368634
2666,68,31,-1.5459800469483567,6.257973670959473,False,2025-10-25 18:44:20,0,0.0,0.03720974549651146,0.97337665
2708,69,42,-1.062374831833142,5.8306310176849365,False,2025-10-25 18:44:29,0,0.0,0.035770535469055176,0.97295707
2737,70,29,1.628464509535761,4.566069602966309,True,2025-10-25 18:44:34,0,0.0,0.14324676990509033,0.97266736
2771,71,34,-1.1121618170212957,4.124949216842651,False,2025-10-25 18:44:39,0,0.0,0.03538103774189949,0.9723277
2810,72,39,-1.736603792770443,5.784316062927246,False,2025-10-25 18:44:46,0,0.0,0.02511328086256981,0.97193809
2865,73,55,-1.2240965881777626,8.299659013748169,False,2025-10-25 18:44:55,0,0.0,0.02234034053981304,0.97138864
2901,74,36,-1.1244262046926248,6.443217039108276,False,2025-10-25 18:45:03,0,0.0,0.020924942567944527,0.971029
2945,75,44,-1.2277232422520978,7.4628331661224365,False,2025-10-25 18:45:12,0,0.0,0.029464978724718094,0.97058944
2980,76,35,-1.1666255615835865,6.950106859207153,False,2025-10-25 18:45:19,0,0.0,0.026361260563135147,0.97023979
3084,77,104,-1.5775727490517402,91.2176125049591,False,2025-10-25 18:46:52,0,0.0,0.025375384837388992,0.96920083
